"","id","qid","dataset","plottype","response","cresponse","correct"
"1","R_7ONSkE1nz3KoRFO",1,"A","bar","2_1_4_3","1_2_4_3",FALSE
"2","R_dha3yxnSNHMTiza",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"3","R_9zbF9pVnDgKLogc",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"4","R_1Umw95YI8cv3DRG",1,"A","bar","1_3_4_2","1_2_4_3",FALSE
"5","R_bsx1sOloTtKtSJu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"6","R_6FmRiHnhkQsTeMk",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE
"7","R_42C16OPPjnYm8CM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"8","R_6m2qpZPOKpdyD9a",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"9","R_5sYZSfjLDJir2kI",1,"A","bar","2_1_4_3","1_2_4_3",FALSE
"10","R_01a6HI55lPgLUd6",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"11","R_9QDU9nFW3MfKHoU",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE
"12","R_1H707scKVBKDbuY",1,"A","bar","2_1_4_3","1_2_4_3",FALSE
"13","R_3qItOVB1m3rRIHO",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"14","R_a5XRod8QdXHdgiM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"15","R_bP1eWMUqcLIi1rm",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"16","R_3ZQvAmasceYQPQM",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE
"17","R_bvGXdKWl3ICupP6",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"18","R_6Sw1XuYKHVRsEWU",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"19","R_4I64gDQSHH8ojze",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"20","R_6Gnw4mQ6x4AVWII",1,"A","hammock","2_1_4_3","1_2_4_3",FALSE
"21","R_3Kmgffq9P84Hqi8",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"22","R_8HaXTyDqjDiLelu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"23","R_ekPM1Syz0w3SC9K",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"24","R_bQRG1H7frzNaEQs",1,"A","circos","1_2_4_3","1_2_4_3",TRUE
"25","R_d0jsFdwwwPH4qm8",1,"A","circos","2_1_4_3","1_2_4_3",FALSE
"26","R_bIrefWwgM8eoCOw",1,"A","bar","1_4_3_2","1_2_4_3",FALSE
"27","R_bQosMSXWXg07Ljm",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE
"28","R_0O0VLA2fLGC5SAI",1,"A","circos","4_1_3_2","1_2_4_3",FALSE
"29","R_eQgihX6yHZzRODi",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"30","R_6EF1Vcw5fLiuBAo",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"31","R_9st8AEs2Cmddkiw",1,"A","bar","1_2_4_3","1_2_4_3",TRUE
"32","R_eWm6JNzYLa6yOP2",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"33","R_6tm0XdCBcbPY71G",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE
"34","R_7ONSkE1nz3KoRFO",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"35","R_dha3yxnSNHMTiza",2,"A","circos","4_1_2_3","4_1_2_3",TRUE
"36","R_9zbF9pVnDgKLogc",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"37","R_1Umw95YI8cv3DRG",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"38","R_bsx1sOloTtKtSJu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"39","R_6FmRiHnhkQsTeMk",2,"A","hammock","2_1_3_4","4_1_2_3",FALSE
"40","R_42C16OPPjnYm8CM",2,"A","circos","4_1_2_3","4_1_2_3",TRUE
"41","R_6m2qpZPOKpdyD9a",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"42","R_5sYZSfjLDJir2kI",2,"A","bar","3_1_2_4","4_1_2_3",FALSE
"43","R_01a6HI55lPgLUd6",2,"A","circos","___","4_1_2_3",FALSE
"44","R_9QDU9nFW3MfKHoU",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"45","R_1H707scKVBKDbuY",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"46","R_3qItOVB1m3rRIHO",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"47","R_a5XRod8QdXHdgiM",2,"A","circos","1_3_4_2","4_1_2_3",FALSE
"48","R_bP1eWMUqcLIi1rm",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"49","R_3ZQvAmasceYQPQM",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"50","R_bvGXdKWl3ICupP6",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"51","R_6Sw1XuYKHVRsEWU",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"52","R_4I64gDQSHH8ojze",2,"A","bar","1_2_4_3","4_1_2_3",FALSE
"53","R_6Gnw4mQ6x4AVWII",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"54","R_3Kmgffq9P84Hqi8",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"55","R_8HaXTyDqjDiLelu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"56","R_ekPM1Syz0w3SC9K",2,"A","circos","4_1_2_3","4_1_2_3",TRUE
"57","R_bQRG1H7frzNaEQs",2,"A","circos","4_1_2_3","4_1_2_3",TRUE
"58","R_d0jsFdwwwPH4qm8",2,"A","circos","3_2_1_4","4_1_2_3",FALSE
"59","R_bIrefWwgM8eoCOw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"60","R_bQosMSXWXg07Ljm",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"61","R_0O0VLA2fLGC5SAI",2,"A","circos","4_1_2_3","4_1_2_3",TRUE
"62","R_eQgihX6yHZzRODi",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"63","R_6EF1Vcw5fLiuBAo",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"64","R_9st8AEs2Cmddkiw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE
"65","R_eWm6JNzYLa6yOP2",2,"A","hammock","3_1_2_4","4_1_2_3",FALSE
"66","R_6tm0XdCBcbPY71G",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE
"67","R_7ONSkE1nz3KoRFO",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"68","R_dha3yxnSNHMTiza",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"69","R_9zbF9pVnDgKLogc",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"70","R_1Umw95YI8cv3DRG",3,"A","bar","1_3_4_2","1_4_3_2",FALSE
"71","R_bsx1sOloTtKtSJu",3,"A","hammock","No Response","1_4_3_2",FALSE
"72","R_6FmRiHnhkQsTeMk",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"73","R_42C16OPPjnYm8CM",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"74","R_6m2qpZPOKpdyD9a",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"75","R_5sYZSfjLDJir2kI",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"76","R_01a6HI55lPgLUd6",3,"A","circos","___","1_4_3_2",FALSE
"77","R_9QDU9nFW3MfKHoU",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"78","R_1H707scKVBKDbuY",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"79","R_3qItOVB1m3rRIHO",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"80","R_a5XRod8QdXHdgiM",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"81","R_bP1eWMUqcLIi1rm",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"82","R_3ZQvAmasceYQPQM",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"83","R_bvGXdKWl3ICupP6",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"84","R_6Sw1XuYKHVRsEWU",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"85","R_4I64gDQSHH8ojze",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"86","R_6Gnw4mQ6x4AVWII",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"87","R_3Kmgffq9P84Hqi8",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"88","R_8HaXTyDqjDiLelu",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"89","R_ekPM1Syz0w3SC9K",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"90","R_bQRG1H7frzNaEQs",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"91","R_d0jsFdwwwPH4qm8",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"92","R_bIrefWwgM8eoCOw",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"93","R_bQosMSXWXg07Ljm",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"94","R_0O0VLA2fLGC5SAI",3,"A","circos","1_4_3_2","1_4_3_2",TRUE
"95","R_eQgihX6yHZzRODi",3,"A","bar","1_4_3_2","1_4_3_2",TRUE
"96","R_6EF1Vcw5fLiuBAo",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"97","R_9st8AEs2Cmddkiw",3,"A","bar","No Response","1_4_3_2",FALSE
"98","R_eWm6JNzYLa6yOP2",3,"A","hammock","1_3_4_2","1_4_3_2",FALSE
"99","R_6tm0XdCBcbPY71G",3,"A","hammock","1_4_3_2","1_4_3_2",TRUE
"100","R_7ONSkE1nz3KoRFO",1,"B","hammock","1","1",TRUE
