"id","pref","why","browser","os","datestart","totaltime","mheight","mwidth","plottype","dataset","response","pagetime","clicks","qid","blockid"
"R_7ONSkE1nz3KoRFO","1","More direct comparisons could be made with the bar chart.  The next best was the hammock plot.  I could not discern anything from the circle graph.","Chrome","WOW64","2012-04-26 17:34:45","38.62","900","1600","bar","A","2_1_4_3",NA,NA,1,6
"R_dha3yxnSNHMTiza","4","I had trouble reading the labels on all three charts. There was too much data presented for the size of the charts.","Firefox","rv:6.0","2012-04-26 18:09:33","14.35","900","1440","circos","A","1_2_4_3","146.77","9",1,3
"R_9zbF9pVnDgKLogc","3","Almost tied with bar chart; Circle graph was super hard to read, very confusing","Chrome","WOW64","2012-04-26 18:12:36","12.3","768","1366","hammock","A","3_1_4_2","64.92","7",1,1
"R_1Umw95YI8cv3DRG","1","","Safari","Intel Mac OS X 10_7_3","2012-04-26 18:26:29","9.52","768","1366","bar","A","1_3_4_2","113.39","14",1,6
"R_bsx1sOloTtKtSJu","3","The relations were clearer, the color contrast was better. ","Chrome","Intel Mac OS X 10_6_8","2012-04-26 18:50:58","15.45","800","1280","hammock","A","3_1_4_2","89.68","7",1,4
"R_6FmRiHnhkQsTeMk","1","I knew what was going on...","Chrome","WOW64","2012-04-26 19:41:49","9.9","900","1440","hammock","A","4_1_3_2","95.72","16",1,1
"R_42C16OPPjnYm8CM","1","it was hard to figure out the circle graph. I had never seen one before. The hammock plot was hard because when the lines were at an angle they looked smaller.","Chrome","WOW64","2012-04-26 19:29:12","31.77","768","1366","circos","A","1_2_4_3","163.52","7",1,2
"R_6m2qpZPOKpdyD9a","3","Don't understand circle graphs. Hammock plot can simultaneously look at proportions and counts which is cool","Safari","Intel Mac OS X 10_7_3","2012-04-26 19:53:10","8.27","800","1280","hammock","A","3_1_4_2","103.53","20",1,4
"R_5sYZSfjLDJir2kI","1","the width of lines in circle graph and hammock plot has meaning but it is hard to tell the difference of the width.","Firefox","WOW64","2012-04-26 19:54:14","25.43","900","1600","bar","A","2_1_4_3","181.3","10",1,6
"R_01a6HI55lPgLUd6","1","I could understand what was being displayed and read the labels and values","Firefox","WOW64","2012-04-26 20:38:22","11.63","900","1600","circos","A","1_2_4_3","361.23","4",1,2
"R_9QDU9nFW3MfKHoU","3","very visual.  little text to try to parse","Safari","Intel Mac OS X 10_7_3","2012-04-26 20:40:45","14.78","768","1366","hammock","A","4_1_3_2","116.2","7",1,4
"R_1H707scKVBKDbuY","1","easy to read few data","Chrome","Intel Mac OS X 10_6_8","2012-04-26 20:47:27","17.25","800","1280","bar","A","2_1_4_3","214.17","13",1,5
"R_3qItOVB1m3rRIHO","3","This had the fewest response categories","Chrome","Linux x86_64","2012-04-26 20:50:45","20.07","800","1280","hammock","A","3_1_4_2","158.36","10",1,1
"R_a5XRod8QdXHdgiM","2","Because the numbers where clearer. The other two graphs seems to need extensive estimation to answer the questions and it was much hard to to answer the questions because of that.","Safari","Intel Mac OS X 10_6_8","2012-04-26 21:07:14","14.73","1050","1680","circos","A","1_2_4_3","263.08","5",1,3
"R_bP1eWMUqcLIi1rm","1","It made the comparisons easier to find and actually compare.  The circle graph I couldn't read the labels - I wouldn't trust any of my answers for that one and the hammock plot there was just too much going on and too much overlap to easily try to compare multiple items.","Chrome","Intel Mac OS X 10_6_8","2012-04-26 21:31:10","10.48","800","1280","bar","A","1_2_4_3","104.05","4",1,6
