"id","qid","dataset","plottype","response","cresponse","correct","responsen","cresponsen","qsubid"
"R_7ONSkE1nz3KoRFO",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,2,1,1
"R_7ONSkE1nz3KoRFO",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,1,2,2
"R_7ONSkE1nz3KoRFO",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,4,4,3
"R_7ONSkE1nz3KoRFO",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,3,3,4
"R_dha3yxnSNHMTiza",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_dha3yxnSNHMTiza",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_dha3yxnSNHMTiza",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_dha3yxnSNHMTiza",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_9zbF9pVnDgKLogc",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_9zbF9pVnDgKLogc",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_9zbF9pVnDgKLogc",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_9zbF9pVnDgKLogc",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_1Umw95YI8cv3DRG",1,"A","bar","1_3_4_2","1_2_4_3",FALSE,1,1,1
"R_1Umw95YI8cv3DRG",1,"A","bar","1_3_4_2","1_2_4_3",FALSE,3,2,2
"R_1Umw95YI8cv3DRG",1,"A","bar","1_3_4_2","1_2_4_3",FALSE,4,4,3
"R_1Umw95YI8cv3DRG",1,"A","bar","1_3_4_2","1_2_4_3",FALSE,2,3,4
"R_bsx1sOloTtKtSJu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_bsx1sOloTtKtSJu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_bsx1sOloTtKtSJu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_bsx1sOloTtKtSJu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_6FmRiHnhkQsTeMk",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,4,1,1
"R_6FmRiHnhkQsTeMk",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,1,2,2
"R_6FmRiHnhkQsTeMk",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,3,4,3
"R_6FmRiHnhkQsTeMk",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,2,3,4
"R_42C16OPPjnYm8CM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_42C16OPPjnYm8CM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_42C16OPPjnYm8CM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_42C16OPPjnYm8CM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_6m2qpZPOKpdyD9a",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_6m2qpZPOKpdyD9a",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_6m2qpZPOKpdyD9a",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_6m2qpZPOKpdyD9a",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_5sYZSfjLDJir2kI",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,2,1,1
"R_5sYZSfjLDJir2kI",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,1,2,2
"R_5sYZSfjLDJir2kI",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,4,4,3
"R_5sYZSfjLDJir2kI",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,3,3,4
"R_01a6HI55lPgLUd6",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_01a6HI55lPgLUd6",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_01a6HI55lPgLUd6",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_01a6HI55lPgLUd6",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_9QDU9nFW3MfKHoU",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,4,1,1
"R_9QDU9nFW3MfKHoU",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,1,2,2
"R_9QDU9nFW3MfKHoU",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,3,4,3
"R_9QDU9nFW3MfKHoU",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,2,3,4
"R_1H707scKVBKDbuY",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,2,1,1
"R_1H707scKVBKDbuY",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,1,2,2
"R_1H707scKVBKDbuY",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,4,4,3
"R_1H707scKVBKDbuY",1,"A","bar","2_1_4_3","1_2_4_3",FALSE,3,3,4
"R_3qItOVB1m3rRIHO",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_3qItOVB1m3rRIHO",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_3qItOVB1m3rRIHO",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_3qItOVB1m3rRIHO",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_a5XRod8QdXHdgiM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_a5XRod8QdXHdgiM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_a5XRod8QdXHdgiM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_a5XRod8QdXHdgiM",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_bP1eWMUqcLIi1rm",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_bP1eWMUqcLIi1rm",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_bP1eWMUqcLIi1rm",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_bP1eWMUqcLIi1rm",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_3ZQvAmasceYQPQM",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,4,1,1
"R_3ZQvAmasceYQPQM",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,1,2,2
"R_3ZQvAmasceYQPQM",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,3,4,3
"R_3ZQvAmasceYQPQM",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,2,3,4
"R_bvGXdKWl3ICupP6",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_bvGXdKWl3ICupP6",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_bvGXdKWl3ICupP6",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_bvGXdKWl3ICupP6",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_6Sw1XuYKHVRsEWU",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_6Sw1XuYKHVRsEWU",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_6Sw1XuYKHVRsEWU",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_6Sw1XuYKHVRsEWU",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_4I64gDQSHH8ojze",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_4I64gDQSHH8ojze",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_4I64gDQSHH8ojze",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_4I64gDQSHH8ojze",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_6Gnw4mQ6x4AVWII",1,"A","hammock","2_1_4_3","1_2_4_3",FALSE,2,1,1
"R_6Gnw4mQ6x4AVWII",1,"A","hammock","2_1_4_3","1_2_4_3",FALSE,1,2,2
"R_6Gnw4mQ6x4AVWII",1,"A","hammock","2_1_4_3","1_2_4_3",FALSE,4,4,3
"R_6Gnw4mQ6x4AVWII",1,"A","hammock","2_1_4_3","1_2_4_3",FALSE,3,3,4
"R_3Kmgffq9P84Hqi8",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_3Kmgffq9P84Hqi8",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_3Kmgffq9P84Hqi8",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_3Kmgffq9P84Hqi8",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_8HaXTyDqjDiLelu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_8HaXTyDqjDiLelu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_8HaXTyDqjDiLelu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_8HaXTyDqjDiLelu",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_ekPM1Syz0w3SC9K",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_ekPM1Syz0w3SC9K",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_ekPM1Syz0w3SC9K",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_ekPM1Syz0w3SC9K",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_bQRG1H7frzNaEQs",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_bQRG1H7frzNaEQs",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_bQRG1H7frzNaEQs",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_bQRG1H7frzNaEQs",1,"A","circos","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_d0jsFdwwwPH4qm8",1,"A","circos","2_1_4_3","1_2_4_3",FALSE,2,1,1
"R_d0jsFdwwwPH4qm8",1,"A","circos","2_1_4_3","1_2_4_3",FALSE,1,2,2
"R_d0jsFdwwwPH4qm8",1,"A","circos","2_1_4_3","1_2_4_3",FALSE,4,4,3
"R_d0jsFdwwwPH4qm8",1,"A","circos","2_1_4_3","1_2_4_3",FALSE,3,3,4
"R_bIrefWwgM8eoCOw",1,"A","bar","1_4_3_2","1_2_4_3",FALSE,1,1,1
"R_bIrefWwgM8eoCOw",1,"A","bar","1_4_3_2","1_2_4_3",FALSE,4,2,2
"R_bIrefWwgM8eoCOw",1,"A","bar","1_4_3_2","1_2_4_3",FALSE,3,4,3
"R_bIrefWwgM8eoCOw",1,"A","bar","1_4_3_2","1_2_4_3",FALSE,2,3,4
"R_bQosMSXWXg07Ljm",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,4,1,1
"R_bQosMSXWXg07Ljm",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,1,2,2
"R_bQosMSXWXg07Ljm",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,3,4,3
"R_bQosMSXWXg07Ljm",1,"A","hammock","4_1_3_2","1_2_4_3",FALSE,2,3,4
"R_0O0VLA2fLGC5SAI",1,"A","circos","4_1_3_2","1_2_4_3",FALSE,4,1,1
"R_0O0VLA2fLGC5SAI",1,"A","circos","4_1_3_2","1_2_4_3",FALSE,1,2,2
"R_0O0VLA2fLGC5SAI",1,"A","circos","4_1_3_2","1_2_4_3",FALSE,3,4,3
"R_0O0VLA2fLGC5SAI",1,"A","circos","4_1_3_2","1_2_4_3",FALSE,2,3,4
"R_eQgihX6yHZzRODi",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_eQgihX6yHZzRODi",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_eQgihX6yHZzRODi",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_eQgihX6yHZzRODi",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_6EF1Vcw5fLiuBAo",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_6EF1Vcw5fLiuBAo",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_6EF1Vcw5fLiuBAo",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_6EF1Vcw5fLiuBAo",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_9st8AEs2Cmddkiw",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,1,1,1
"R_9st8AEs2Cmddkiw",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,2,2,2
"R_9st8AEs2Cmddkiw",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,4,4,3
"R_9st8AEs2Cmddkiw",1,"A","bar","1_2_4_3","1_2_4_3",TRUE,3,3,4
"R_eWm6JNzYLa6yOP2",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_eWm6JNzYLa6yOP2",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_eWm6JNzYLa6yOP2",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_eWm6JNzYLa6yOP2",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_6tm0XdCBcbPY71G",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,3,1,1
"R_6tm0XdCBcbPY71G",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,1,2,2
"R_6tm0XdCBcbPY71G",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,4,4,3
"R_6tm0XdCBcbPY71G",1,"A","hammock","3_1_4_2","1_2_4_3",FALSE,2,3,4
"R_7ONSkE1nz3KoRFO",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_7ONSkE1nz3KoRFO",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_7ONSkE1nz3KoRFO",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_7ONSkE1nz3KoRFO",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_dha3yxnSNHMTiza",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_dha3yxnSNHMTiza",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_dha3yxnSNHMTiza",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_dha3yxnSNHMTiza",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_9zbF9pVnDgKLogc",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_9zbF9pVnDgKLogc",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_9zbF9pVnDgKLogc",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_9zbF9pVnDgKLogc",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_1Umw95YI8cv3DRG",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_1Umw95YI8cv3DRG",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_1Umw95YI8cv3DRG",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_1Umw95YI8cv3DRG",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_bsx1sOloTtKtSJu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bsx1sOloTtKtSJu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bsx1sOloTtKtSJu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bsx1sOloTtKtSJu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_6FmRiHnhkQsTeMk",2,"A","hammock","2_1_3_4","4_1_2_3",FALSE,2,4,1
"R_6FmRiHnhkQsTeMk",2,"A","hammock","2_1_3_4","4_1_2_3",FALSE,1,1,2
"R_6FmRiHnhkQsTeMk",2,"A","hammock","2_1_3_4","4_1_2_3",FALSE,3,2,3
"R_6FmRiHnhkQsTeMk",2,"A","hammock","2_1_3_4","4_1_2_3",FALSE,4,3,4
"R_42C16OPPjnYm8CM",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_42C16OPPjnYm8CM",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_42C16OPPjnYm8CM",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_42C16OPPjnYm8CM",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_6m2qpZPOKpdyD9a",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_6m2qpZPOKpdyD9a",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_6m2qpZPOKpdyD9a",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_6m2qpZPOKpdyD9a",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_5sYZSfjLDJir2kI",2,"A","bar","3_1_2_4","4_1_2_3",FALSE,3,4,1
"R_5sYZSfjLDJir2kI",2,"A","bar","3_1_2_4","4_1_2_3",FALSE,1,1,2
"R_5sYZSfjLDJir2kI",2,"A","bar","3_1_2_4","4_1_2_3",FALSE,2,2,3
"R_5sYZSfjLDJir2kI",2,"A","bar","3_1_2_4","4_1_2_3",FALSE,4,3,4
"R_01a6HI55lPgLUd6",2,"A","circos","___","4_1_2_3",FALSE,NA,4,1
"R_01a6HI55lPgLUd6",2,"A","circos","___","4_1_2_3",FALSE,NA,1,2
"R_01a6HI55lPgLUd6",2,"A","circos","___","4_1_2_3",FALSE,NA,2,3
"R_01a6HI55lPgLUd6",2,"A","circos","___","4_1_2_3",FALSE,NA,3,4
"R_9QDU9nFW3MfKHoU",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_9QDU9nFW3MfKHoU",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_9QDU9nFW3MfKHoU",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_9QDU9nFW3MfKHoU",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_1H707scKVBKDbuY",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
